,vehicle_id,time,longitude,latitude
8388,134,20,849.95,146.47
8389,135,20,654.65,266.29
8390,132,21,700.73,699.73
8391,133,21,718.53,282.3
8392,134,21,833.39,145.85
8393,135,21,652.59,266.16
8394,132,22,700.09,721.0
8395,133,22,719.15,275.74
8396,134,22,816.7,145.22
8397,135,22,648.45,265.89
8398,132,23,699.32,741.79
8399,133,23,720.69,269.37
8400,134,23,799.9,144.6
8401,135,23,642.64,265.52
8402,132,24,698.59,762.59
8403,133,24,725.06,271.15
8404,134,24,784.16,144.01
8405,135,24,635.12,265.05
8406,132,25,697.89,782.82
8407,133,25,731.48,273.41
8408,134,25,768.06,143.41
8409,135,25,625.89,264.46
8410,132,26,697.19,802.97
8411,133,26,741.15,273.76
8412,134,26,752.68,142.83
8413,135,26,614.08,264.0
8414,132,27,696.5,823.83
8415,133,27,752.26,274.18
8416,134,27,740.97,142.39
8417,135,27,600.62,263.65
8418,132,28,695.79,844.43
8419,133,28,765.5,274.71
8420,134,28,733.16,142.1
8421,135,28,587.31,263.27
8422,132,29,694.67,864.46
8423,133,29,779.73,275.28
8424,134,29,729.17,141.95
8425,135,29,573.51,262.89
8426,132,30,693.58,885.13
8427,133,30,793.82,275.84
8428,134,30,723.91,143.09
8429,135,30,560.47,262.47
8430,132,31,692.75,905.6
8431,133,31,807.97,276.41
8432,134,31,719.83,149.59
8433,135,31,546.44,261.82
8434,132,32,691.95,926.56
8435,133,32,821.86,276.97
8436,134,32,718.86,159.51
8437,135,32,534.98,261.25
8438,132,33,691.17,947.18
8439,133,33,835.16,277.5
8440,134,33,718.59,171.08
8441,135,33,527.71,260.88
8442,132,34,690.37,967.36
8443,133,34,849.44,278.07
8444,134,34,718.27,185.1
8445,135,34,523.54,260.67
8446,132,35,689.34,988.15
8447,133,35,863.5,278.63
8448,134,35,717.9,200.72
8449,135,35,517.03,261.06
8450,132,36,688.29,1009.42
8451,133,36,877.78,279.2
8452,134,36,717.28,217.92
8453,135,36,509.9,263.97
8454,136,36,1092.97,279.29
8455,132,37,687.15,1030.22
8456,133,37,891.36,279.75
8457,134,37,716.56,236.49
8458,135,37,505.86,273.19
8459,136,37,1078.12,278.66
8460,133,38,905.63,280.32
8461,134,38,715.76,257.04
8462,135,38,505.32,283.38
8463,136,38,1062.9,278.01
8464,133,39,919.44,280.87
8465,134,39,715.37,279.58
8466,135,39,504.92,295.22
8467,136,39,1047.44,277.34
8468,133,40,933.55,281.43
8469,134,40,714.29,304.29
8470,135,40,504.49,308.34
8471,136,40,1032.62,276.71
8472,133,41,947.53,281.97
8473,134,41,713.09,330.9
8474,135,41,504.07,321.11
8475,136,41,1018.28,276.1
8476,133,42,961.26,282.49
8477,134,42,712.55,357.92
8478,135,42,503.62,334.52
8479,136,42,1003.26,275.45
8480,133,43,974.87,283.0
8481,134,43,711.79,384.26
8482,135,43,503.17,348.08
8483,136,43,988.21,274.81
8484,133,44,989.18,283.53
8485,134,44,710.74,411.05
8486,135,44,502.71,361.94
8487,136,44,973.71,274.19
8488,133,45,1002.73,284.04
8489,134,45,709.82,437.13
8490,135,45,502.27,375.32
8491,136,45,958.38,273.53
8492,133,46,1017.09,284.58
8493,134,46,708.82,464.34
8494,135,46,501.81,389.1
8495,136,46,944.04,272.92
8496,133,47,1030.69,285.09
8497,134,47,707.83,491.23
8498,135,47,501.37,402.45
8499,136,47,928.86,272.33
8500,133,48,1045.0,285.63
8501,134,48,706.85,517.19
8502,135,48,501.0,413.66
8503,136,48,914.6,271.8
8504,133,49,1058.63,286.14
8505,134,49,705.86,544.1
8506,135,49,500.76,421.85
8507,136,49,899.94,271.24
8508,133,50,1072.22,286.66
8509,134,50,704.86,571.29
8510,135,50,498.24,427.1
8511,136,50,885.28,270.69
8512,133,51,1086.47,287.19
8513,134,51,704.26,597.34
8514,135,51,493.1,427.59
8515,136,51,870.1,270.12
8516,134,52,703.43,624.34
8517,135,52,486.13,427.24
8518,136,52,854.87,269.55
8519,137,52,847.02,379.43
8520,135,53,477.37,426.8
8521,136,53,839.62,268.98
8522,137,53,845.91,377.35
8523,135,54,466.89,426.27
8524,136,54,824.49,268.41
8525,137,54,842.77,374.15
8526,135,55,454.47,425.64
8527,136,55,809.21,267.83
8528,137,55,837.32,371.95
8529,135,56,441.62,424.95
8530,136,56,793.79,267.26
8531,137,56,829.39,372.94
8532,135,57,428.19,424.2
8533,136,57,778.99,266.7
8534,137,57,822.54,379.15
8535,135,58,414.3,423.43
8536,136,58,764.5,266.15
8537,137,58,818.0,383.82
8538,135,59,400.82,422.67
8539,136,59,749.05,265.57
8540,137,59,810.99,383.98
8541,135,00,387.33,421.85
8542,136,00,737.66,265.1
8543,137,00,802.55,383.67
8544,135,01,374.09,421.0
8545,136,01,730.75,264.81
8546,137,01,792.16,383.28
8547,135,02,360.38,420.11
8548,136,02,722.59,265.48
8549,137,02,780.36,382.85
8550,135,03,347.29,419.26
