,vehicle_id,time,latitude,longitude
1205,17,44,823.68,486.27
1206,18,44,439.4,685.28
1207,19,44,174.02,87.64
1208,20,44,587.01,319.34
1209,21,44,272.4,508.69
1210,17,45,836.61,485.84
1211,18,45,439.74,694.15
1212,19,45,152.34,75.17
1213,20,45,606.02,330.06
1214,21,45,268.37,508.48
1215,17,46,849.38,485.49
1216,18,46,439.95,699.59
1217,19,46,130.17,62.41
1218,20,46,625.18,341.03
1219,21,46,262.95,506.44
1220,22,46,597.35,382.07
1221,17,47,857.65,485.26
1222,18,47,439.56,702.16
1223,19,47,108.24,49.8
1224,20,47,644.24,352.36
1225,21,47,259.57,500.16
1226,22,47,598.27,380.29
1227,17,48,862.36,485.14
1228,18,48,437.28,702.15
1229,19,48,86.98,37.56
1230,20,48,662.88,363.48
1231,21,48,259.18,491
1232,22,48,599.8,377.33
1233,17,49,869.35,485
1234,18,49,436.75,699.55
1235,19,49,65.76,25.36
1236,20,49,682.04,374.92
1237,21,49,258.72,480.07
1238,22,49,602.22,372.63
1239,17,50,878.78,485.2
1240,18,50,436.57,694.71
1241,19,50,43.69,12.66
1242,20,50,701.22,386.36
1243,21,50,258.17,467.17
1244,22,50,605.56,366.16
1245,17,51,890.11,487.44
1246,18,51,436.32,688.29
1247,19,51,21.15,3.01
1248,20,51,720.37,397.79
1249,21,51,257.5,453.76
1250,22,51,609.65,358.24
1251,17,52,902.97,492.41
1252,18,52,436.01,680.27
1253,20,52,739.29,409.08
1254,21,52,256.6,440.85
1255,22,52,613.67,350.45
1256,17,53,917.67,498.1
1257,18,53,435.62,670.17
1258,20,53,758.06,420.28
1259,21,53,255.68,428.14
1260,22,53,615.63,346.65
1261,17,54,934.68,504.69
1262,18,54,435.07,658.34
1263,20,54,776.38,431.21
1264,21,54,254.97,418.35
1265,22,54,616.75,341.59
1266,17,55,953.74,512.06
1267,18,55,434.36,646.29
1268,20,55,794.88,442.25
1269,21,55,254.52,412.27
1270,22,55,612.94,337.65
1271,17,56,972.69,519.39
1272,18,56,433.67,634.6
1273,20,56,813.35,453.26
1274,21,56,253.47,406.38
1275,22,56,605.99,333.72
1276,17,57,991.07,526.5
1277,18,57,432.9,621.64
1278,20,57,831.7,464.19
1279,21,57,248.36,403.82
1280,22,57,596.79,328.53
1281,17,58,1010.34,533.96
1282,20,58,851.89,472.25
1283,21,58,242.17,404.03
1284,22,58,586.01,322.45
1285,17,59,1029.52,541.38
1286,20,59,872.02,480.28
1287,21,59,233.54,404.36
1288,22,59,573.31,315.29
1289,17,0,1048.21,548.61
1290,20,0,892.36,488.31
1291,21,0,223.39,404.75
1292,22,0,559.15,307.3
1293,17,1,1067.31,556
1294,20,1,913.03,496.31
1295,21,1,210.95,405.22
1296,22,1,543.8,298.64
1297,17,2,1086.58,563.46
1298,20,2,933.95,504.4
1299,21,2,197.18,405.75
1300,22,2,526.18,288.71
1301,23,2,154.11,1095.61
1302,20,3,954.12,512.21
1303,21,3,183.18,406.28
1304,22,3,508.13,278.52
1305,23,3,153.79,1083.76
1306,20,4,974.88,520.24
1307,21,4,169.44,406.81
1308,22,4,489.8,268.18
1309,23,4,153.47,1071.87
1310,20,5,994.89,527.98
1311,21,5,155.75,407.33
1312,22,5,471.28,257.74
1313,23,5,153.17,1060.78
1314,20,6,1015.54,535.97
1315,21,6,142.68,407.83
1316,22,6,452.69,247.25
1317,23,6,152.87,1049.5
1318,20,7,1036.59,544.11
1319,21,7,128.69,408.37
1320,22,7,434.44,236.87
1321,23,7,152.56,1037.86
1322,20,8,1057.24,552.1
1323,21,8,114.84,408.9
1324,22,8,416.42,226.57
1325,23,8,152.23,1025.81
1326,20,9,1077.46,559.93
1327,21,9,101.54,409.41
1328,22,9,397.82,215.93
1329,23,9,151.92,1014.11
1330,20,10,1098.09,567.91
1331,21,10,87.55,409.94
1332,22,10,379.94,205.72
1333,23,10,151.61,1002.64
1334,21,11,74.36,410.44
1335,22,11,361.74,195.31
1336,23,11,151.31,991.52
1337,21,12,60.59,410.97
1338,22,12,343.33,184.79
1339,23,12,151,980.11
1340,21,13,47.15,411.48
1341,22,13,324.53,174.05
1342,23,13,150.68,968.23
1343,21,14,33.34,412.01
1344,22,14,305.78,163.33
1345,23,14,150.36,956.05
1346,21,15,19.79,412.53
1347,22,15,287.09,152.65
1348,23,15,150.02,943.93
1349,22,16,269.21,142.4
1350,23,16,149.54,932.17
